Coordenada,Media (μ),Desviación Estándar (σ),Máximo,Mínimo,Rango (Max - Min)
left wrist (Y),0.5173233613656474,0.24245158899000346,0.8490035696533501,0.20985538464206713,0.639148185011283
right wrist (X),0.4886856852761315,0.2213335525704339,0.8028358385721485,0.20985538464206713,0.5929804539300814
right wrist (Y),0.5462254977785052,0.26843851009026726,0.9490613451191864,0.20985538464206713,0.7392059604771193
left pinky (X),0.49167454719222575,0.22132358935083848,0.850665749164096,0.20985538464206713,0.6408103645220289
left pinky (Y),0.5215372706691034,0.24575662246813537,0.8744160213797315,0.20985538464206713,0.6645606367376644
right pinky (X),0.4983063394023637,0.22855107443939074,0.8150767380405987,0.20985538464206713,0.6052213533985316
right pinky (Y),0.5565302436939904,0.2766399822571912,1.0,0.20985538464206713,0.7901446153579329
left index (X),0.4937162915159245,0.22285342608731107,0.8477479883931203,0.20985538464206713,0.6378926037510532
left index (Y),0.5236258099674289,0.2475082548038038,0.880902906234991,0.20985538464206713,0.6710475215929239
right index (X),0.5007371964464459,0.2301196518996434,0.8113597045296478,0.20985538464206713,0.6015043198875807
right index (Y),0.5516800161488946,0.2725690319440925,0.9763933623721106,0.20985538464206713,0.7665379777300435
left thumb (X),0.49045612868690197,0.22038375948153013,0.8402612797833625,0.20985538464206713,0.6304058951412954
left thumb (Y),0.5235353179684835,0.2474417332908888,0.8807222637560144,0.20985538464206713,0.6708668791139473
right thumb (X),0.496958025443109,0.22720162980781203,0.8052047100256657,0.20985538464206713,0.5953493253835986
right thumb (Y),0.5480028469180142,0.2694999003407571,0.9666234419382624,0.20985538464206713,0.7567680572961953
left hip (X),0.41190663245937204,0.16140382013258894,0.70210434849236,0.20985538464206713,0.49224896385029293
left hip (Y),0.437728999113302,0.18537768554326248,0.740335780047568,0.20985538464206713,0.5304803954055008
right hip (X),0.40903306928617017,0.16000559249172594,0.6896177068550787,0.20985538464206713,0.4797623222130116
right hip (Y),0.4435463805143337,0.19241240367411447,0.7857750785766284,0.20985538464206713,0.5759196939345613
left knee (X),0.3464542301379142,0.11468545380878513,0.6977695396881949,0.20985538464206713,0.4879141550461278
left knee (Y),0.4712603009482663,0.2078466017486031,0.7587720203568644,0.20985538464206713,0.5489166357147973
right knee (X),0.3398853314184311,0.11072019799034082,0.6533622687001709,0.20985538464206713,0.4435068840581038
right knee (Y),0.4788085948328253,0.21473719134876926,0.789223489352333,0.20985538464206713,0.5793681047102659
left ankle (X),0.2810031170538596,0.07662642104727896,0.745414614387748,0.06435351672066603,0.681061097667082
left ankle (Y),0.4793463262965213,0.21399637799629714,0.7585498508712264,0.20985538464206713,0.5486944662291593
right ankle (X),0.27051027516095627,0.07164708782963897,0.6877430067808309,0.04034985851708118,0.6473931482637497
right ankle (Y),0.4868765859562922,0.22041237560608604,0.7789263387848929,0.20985538464206713,0.5690709541428258
left heel (X),0.26873543333491184,0.07157269492602367,0.7551211043545586,0.02179762757839454,0.733323476776164
left heel (Y),0.47151284103846763,0.20861894750076565,0.7630373732067509,0.20985538464206713,0.5531819885646838
right heel (X),0.25790783773473214,0.06662795512005566,0.7011885558572235,0.0,0.7011885558572235
right heel (Y),0.47845938893479134,0.21499844778569707,0.783896062950708,0.20985538464206713,0.5740406783086409
left foot index (X),0.2780999834346229,0.07809758061328993,0.764456741866783,0.014436456738284061,0.7500202851284989
left foot index (Y),0.5209745301572509,0.24578122591434734,0.8397736224443537,0.20985538464206713,0.6299182378022866
right foot index (X),0.268687809037911,0.07389482103134234,0.7045678363806624,0.0006295209220591419,0.7039383154586033
right foot index (Y),0.5305728294586453,0.25375664890224864,0.8567597559661382,0.20985538464206713,0.6469043713240711
